state,reading,science,math,average
ACT,65,68,61,64.67
Western Australia,63,65,60,62.67
Victoria,63,63,58,61.33
South Australia,61,60,54,58.33
New South Wales,59,59,55,57.67
Queensland,60,60,53,57.67
Northern Territory,48,51,47,48.67
Tasmania,48,48,44,46.67
